"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","poniedziałek",3476.37274190664
"2","member","poniedziałek",237.815810920945
"3","casual","wtorek",3201.64136233073
"4","member","wtorek",174.804257114726
"5","casual","środa",2864.55136540962
"6","member","środa",122.616528030713
"7","casual","czwartek",7165.24415838813
"8","member","czwartek",135.199795572875
"9","casual","piątek",5076.30101085736
"10","member","piątek",248.318977493748
"11","casual","sobota",3499.26519706079
"12","member","sobota",475.471698113208
"13","casual","niedziela",3114.96890413897
"14","member","niedziela",338.488629001445
